;Фориш;;;;;;;;;;;;;
;Янгиобод;;;;;;;;;;;;;
;Қашқадарё;;;;+;;;;;;;;;
;Ғузор;;;;;;;;;;;;;
;Қарши;;;;;;;;;;;;;
;Косон;;;;;;;;;;;;;
;Қамаши;;;;;;;;;;;;;
;Китоб;;;;;;;;;;;;;
;Миришкор;;;;;;;;;;;;;
;Муборак;;;;;;;;;;;;;
;Нишон;;;;;;;;;;;;;
;Касби;;;;;;;;;;;;;
;Чироқчи;;;;;;;;;;;;;
;Кўкдала;;;;;;;;;;;;;
;Шахрисабз;;;;;;;;;;;;;
;Яккабоғ;;;;;;;;;;;;;
;Навоий ;;;;+;;;;;;;;;
;Kармана ;;;;;;;;;;;;;
;Конимех;;;;;;;;;;;;;
;Қизилтепа;;;;;;;;;;;;;
;Навбаҳор;;;;;;;;;;;;;
;Хатирчи;;;;;;;;;;;;;
;Нурота;;;;;;;;;;;;;
;Наманган ;;;;+;;;;;;;;;
;Мингбулоқ ;;;;;;;;;;;;;
;Косонсой ;;;;;;;;;;;;;
;Наманган ;;;;;;;;;;;;;
;Норин ;;;;;;;;;;;;;
;Поп;;;;;;;;;;;;;
;Тўрақўрғон;;;;;;;;;;;;;
;Уйчи;;;;;;;;;;;;;
;Учқўрғон;;;;;;;;;;;;;
;Чортоқ ;;;;;;;;;;;;;
;Чуст;;;;;;;;;;;;;
;Янгиқўрғон;;;;;;;;;;;;;
;Самарқанд ;;;;+;;;;;;;;;
;Булунғур;;;;;;;;;;;;;
;Жомбой;;;;;;;;;;;;;
;Иштихон;;;;;;;;;;;;;
;Каттақўрғон;;;;;;;;;;;;;
;Нарпай;;;;;;;;;;;;;
;Нуробод;;;;;;;;;;;;;
;Окдарё;;;;;;;;;;;;;
;Пастдарғом;;;;;;;;;;;;;
;Пахтачи;;;;;;;;;;;;;
;Пайариқ;;;;;;;;;;;;;
;Самарқанд;;;;;;;;;;;;;
;Тойлоқ;;;;;;;;;;;;;
;Ургут;;;;;;;;;;;;;
;Сурхондарё ;;;;+;;;;;;;;;
;Ангор;;;;;;;;;;;;;
;Бойсун;;;;;;;;;;;;;
;Денов;;;;;;;;;;;;;
;Жарқўрғон;;;;;;;;;;;;;
;Қизириқ;;;;;;;;;;;;;
;Қумқўрғон;;;;;;;;;;;;;
;Музработ;;;;;;;;;;;;;
;Олтинсой;;;;;;;;;;;;;
;Сариосиё;;;;;;;;;;;;;
;Термиз;;;;;;;;;;;;;
;Узун;;;;;;;;;;;;;
;Шеробод;;;;;;;;;;;;;
;Шўрчи;;;;;;;;;;;;;
;Сирдарё;;;;+;;;;;;;;;
;Бoёвут;;;;;;;;;;;;;
;Гулистон;;;;;;;;;;;;;
;Мирзаобод;;;;;;;;;;;;;
;Оқолтин;;;;;;;;;;;;;
;Сардоба;;;;;;;;;;;;;
;Сайҳунобод;;;;;;;;;;;;;
;Сирдарё;;;;;;;;;;;;;
;Ховос;;;;;;;;;;;;;
;Тошкент ;;;;+;;;;;;;;;
; Оққўрғон;;;;;;;;;;;;;
; Охангарон;;;;;;;;;;;;;
; Бекобод;;;;;;;;;;;;;
; Бўстонлиқ;;;;;;;;;;;;;
; Бўка;;;;;;;;;;;;;
; Қуйи чирчиқ;;;;;;;;;;;;;
; Зангиота;;;;;;;;;;;;;
; Тошкент;;;;;;;;;;;;;
; Юқори чирчиқ ;;;;;;;;;;;;;
; Қибрай ;;;;;;;;;;;;;
; Паркент;;;;;;;;;;;;;
; Пискент;;;;;;;;;;;;;
; Ўрта чирчиқ;;;;;;;;;;;;;
; Чиноз;;;;;;;;;;;;;
; Янгийўл ;;;;;;;;;;;;;
;Фарғона;;;;+;;;;;;;;;
;Қувасой ш;;;;;;;;;;;;;
;Фарғона ш;;;;;;;;;;;;;
;Бешариқ;;;;;;;;;;;;;
;Бағдод;;;;;;;;;;;;;
;Бувайда;;;;;;;;;;;;;
;Данғара;;;;;;;;;;;;;
;Ёзвон;;;;;;;;;;;;;
;Қува;;;;;;;;;;;;;
;Олтиариқ;;;;;;;;;;;;;
;Қўштепа;;;;;;;;;;;;;
;Риштон;;;;;;;;;;;;;
;Сўх;;;;;;;;;;;;;
;Тошлоқ;;;;;;;;;;;;;
;Ўзбекистон;;;;;;;;;;;;;
;Учкўприк;;;;;;;;;;;;;
;Фарғона т;;;;;;;;;;;;;
;Фурқат;;;;;;;;;;;;;
;Хоразм ;;;;+;;;;;;;;;
;Боғот;;;;;;;;;;;;;
;Гурлан;;;;;;;;;;;;;
;Қўшкўпир;;;;;;;;;;;;;
;Урганч;;;;;;;;;;;;;
;Хозарасп;;;;;;;;;;;;;
;Хонқа;;;;;;;;;;;;;
;Хива;;;;;;;;;;;;;
;Шовот;;;;;;;;;;;;;
;Янгиариқ;;;;;;;;;;;;;
;Янгибозор;;;;;;;;;;;;;
;Тупроққалъа;;;;;;;;;;;;;
